[04-Oct-2013 10:36:21 America/Chicago] PHP Fatal error:  Class 'BasePropChallengePeer' not found in /mnt/stor1-wc2-dfw1/416116/727277/vendor/ccomp/build/classes/classcompete/PropChallengePeer.php on line 16
[04-Oct-2013 10:44:04 America/Chicago] PHP Fatal error:  Call to a member function getZipCode() on a non-object in /mnt/stor1-wc2-dfw1/416116/727277/vendor/modules/x_home_teacher/views/compete/profile.php on line 196
[04-Oct-2013 10:51:12 America/Chicago] PHP Fatal error:  Undefined class constant 'IS_DELETED_JES' in /mnt/stor1-wc2-dfw1/416116/727277/vendor/modules/x_question/models/question_model.php on line 238
[04-Oct-2013 10:51:16 America/Chicago] PHP Fatal error:  Undefined class constant 'IS_DELETED_JES' in /mnt/stor1-wc2-dfw1/416116/727277/vendor/modules/x_question/models/question_model.php on line 238
[04-Oct-2013 10:51:22 America/Chicago] PHP Fatal error:  Undefined class constant 'IS_DELETED_JES' in /mnt/stor1-wc2-dfw1/416116/727277/vendor/modules/x_question/models/question_model.php on line 238
[04-Oct-2013 10:57:15 America/Chicago] PHP Fatal error:  Call to a member function getIsDeleted() on a non-object in /mnt/stor1-wc2-dfw1/416116/727277/applications/teacher/controllers/question.php on line 73
[04-Oct-2013 10:57:24 America/Chicago] PHP Fatal error:  Call to a member function getIsDeleted() on a non-object in /mnt/stor1-wc2-dfw1/416116/727277/applications/teacher/controllers/question.php on line 73
[04-Oct-2013 10:57:26 America/Chicago] PHP Fatal error:  Call to a member function getIsDeleted() on a non-object in /mnt/stor1-wc2-dfw1/416116/727277/applications/teacher/controllers/question.php on line 73
[04-Oct-2013 10:57:27 America/Chicago] PHP Fatal error:  Call to a member function getIsDeleted() on a non-object in /mnt/stor1-wc2-dfw1/416116/727277/applications/teacher/controllers/question.php on line 73
[04-Oct-2013 10:57:58 America/Chicago] PHP Fatal error:  Call to a member function getIsDeleted() on a non-object in /mnt/stor1-wc2-dfw1/416116/727277/applications/teacher/controllers/question.php on line 73
[04-Oct-2013 10:58:03 America/Chicago] PHP Fatal error:  Call to a member function getIsDeleted() on a non-object in /mnt/stor1-wc2-dfw1/416116/727277/applications/teacher/controllers/question.php on line 73
[04-Oct-2013 11:04:49 America/Chicago] PHP Fatal error:  Call to a member function getIsDeleted() on a non-object in /mnt/stor1-wc2-dfw1/416116/727277/applications/teacher/controllers/question.php on line 73
[04-Oct-2013 11:04:55 America/Chicago] PHP Fatal error:  Call to a member function getIsDeleted() on a non-object in /mnt/stor1-wc2-dfw1/416116/727277/applications/teacher/controllers/question.php on line 73
[04-Oct-2013 11:07:44 America/Chicago] PHP Fatal error:  Call to a member function getZipCode() on a non-object in /mnt/stor1-wc2-dfw1/416116/727277/vendor/modules/x_home_teacher/views/compete/profile.php on line 196
[04-Oct-2013 11:07:56 America/Chicago] PHP Fatal error:  Call to a member function getZipCode() on a non-object in /mnt/stor1-wc2-dfw1/416116/727277/vendor/modules/x_home_teacher/views/compete/profile.php on line 196
[04-Oct-2013 11:11:54 America/Chicago] PHP Fatal error:  Call to a member function getIsDeleted() on a non-object in /mnt/stor1-wc2-dfw1/416116/727277/applications/teacher/controllers/question.php on line 73
[04-Oct-2013 11:11:56 America/Chicago] PHP Fatal error:  Call to a member function getIsDeleted() on a non-object in /mnt/stor1-wc2-dfw1/416116/727277/applications/teacher/controllers/question.php on line 73
[04-Oct-2013 11:11:57 America/Chicago] PHP Fatal error:  Call to a member function getIsDeleted() on a non-object in /mnt/stor1-wc2-dfw1/416116/727277/applications/teacher/controllers/question.php on line 73
[04-Oct-2013 11:11:58 America/Chicago] PHP Fatal error:  Call to a member function getIsDeleted() on a non-object in /mnt/stor1-wc2-dfw1/416116/727277/applications/teacher/controllers/question.php on line 73
[04-Oct-2013 11:13:41 America/Chicago] PHP Fatal error:  Call to a member function getIsDeleted() on a non-object in /mnt/stor1-wc2-dfw1/416116/727277/applications/teacher/controllers/question.php on line 73
[04-Oct-2013 11:18:21 America/Chicago] PHP Fatal error:  Call to a member function getIsDeleted() on a non-object in /mnt/stor1-wc2-dfw1/416116/727277/applications/teacher/controllers/question.php on line 73
[04-Oct-2013 11:18:25 America/Chicago] PHP Fatal error:  Call to a member function getIsDeleted() on a non-object in /mnt/stor1-wc2-dfw1/416116/727277/applications/teacher/controllers/question.php on line 73
[04-Oct-2013 11:25:18 America/Chicago] PHP Fatal error:  Call to a member function getZipCode() on a non-object in /mnt/stor1-wc2-dfw1/416116/727277/vendor/modules/x_home_teacher/views/compete/profile.php on line 196
[04-Oct-2013 11:25:40 America/Chicago] PHP Fatal error:  Call to a member function getIsDeleted() on a non-object in /mnt/stor1-wc2-dfw1/416116/727277/applications/teacher/controllers/question.php on line 73
[04-Oct-2013 11:43:00 America/Chicago] PHP Fatal error:  Call to a member function getIsDeleted() on a non-object in /mnt/stor1-wc2-dfw1/416116/727277/applications/teacher/controllers/question.php on line 73
[04-Oct-2013 12:22:28 America/Chicago] PHP Fatal error:  Undefined class constant 'IS_DELETED_JES' in /mnt/stor1-wc2-dfw1/416116/727277/vendor/modules/x_question/models/question_model.php on line 238
