name,state_name,city,state,zip_code,phone
100 BLK MEN OF GREATER MOBILE'S PHOENIX PROGRAM,ALABAMA,PRICHARD,AL ,36610,2514579465
123 YOU N ME PRESCHOOL,ILLINOIS,PEORIA,IL ,61615,3096923470
1ST BAPTIST CHURCH PRESCHOOL,ARKANSAS,WARREN,AR ,71671,8702265884
1ST CEREBRAL PALSY OF NJ,NEW JERSEY,BELLEVILLE,NJ ,07109,9737510200
1ST CLASS MONTESSORI PRESCHOOL,TENNESSEE,MEMPHIS,TN ,38104,9012745622
1ST UNITED METHODIST PRESCHOOL & KINDERGARTEN,NORTH CAROLINA,ROCKY MOUNT,NC ,27804,2529770475
40 MILE COLONY,MONTANA,LODGE GRASS,MT ,59050,4066392457
5TH STREET COLLEGE OF BERTHOUD,COLORADO,BERTHOUD,CO ,80513,9705323653
91ST PSALM CHRISTIAN SCHOOL,ARIZONA,PHOENIX,AZ ,85042,6022431900
92ND STREET YM&YWHA NURSERY SCHOOL,NEW YORK,NEW YORK,NY ,10128,2124155532
A & B CHRISTIAN SCHOOL,TEXAS,HOUSTON,TX ,77017,7139446144
A B C LITTLE SCHOOL,CALIFORNIA,VAN NUYS,CA ,91401,8187865169
A BETTER CHANCE SCHOOL/CAL AUTISM FOUNDATION,CALIFORNIA,RICHMOND,CA ,94806,5102621500
A BOOK'S CHRISTIAN ACADEMY,FLORIDA,APOPKA,FL ,32703,4078840031
A BRIGHT BEGINNING CHILD DEVELOPMENT CENTER,CALIFORNIA,INGLEWOOD,CA ,90301,3106734525
A BRIGHT BEGINNING CHILDCARE,NEW JERSEY,NORTH BRUNSWICK,NJ ,08902,7324480400
A BRIGHT START CHILD DEVELOPMENT CENTER,NEW JERSEY,WARREN,NJ ,07059,9088220060
A C E S,CALIFORNIA,CLOVIS,CA ,93619,5592918101
A CHILD S PLACE,MARYLAND,BALTIMORE,MD ,21210,4105325399
A CHILD S PLACE SCHOOL,NEW JERSEY,LINCROFT,NJ ,07738,7327470141
A CHILD'S DREAM CHRISTIAN SCHOOL,TEXAS,SAN ANTONIO,TX ,78250,2103109240
A CHILD'S GARDEN,OREGON,BEND,OR ,97701,5416170434
A CHILD'S GARDEN INC,CONNECTICUT,SHELTON,CT ,06484,2034020334
A CHILD'S GARDEN MONTESSORI SCHOOL,CONNECTICUT,STONINGTON,CT ,06378,8605721283
A CHILD'S PLACE,PENNSYLVANIA,DEVON,PA ,19333,6106874999
A CHILD'S PLACE,NEW JERSEY,HILLSBOROUGH,NJ ,08844,9083698890
A CHILD'S PLACE DAY SCHOOL,NEW YORK,EAST ELMHURST,NY ,11369,7185652170
